id,t,X0,cluster,TRAIN,VALIDATE,TEST
0,0.0,0.38168343901634216,0,0,0,1
0,0.009999999776482582,0.3911671042442322,0,0,0,1
0,0.019999999552965164,0.40073367953300476,0,0,0,1
0,0.029999999329447746,0.41037654876708984,0,0,0,1
0,0.03999999910593033,0.4200887978076935,0,0,0,1
0,0.04999999701976776,0.429863303899765,0,0,0,1
0,0.05999999865889549,0.43969282507896423,0,0,0,1
0,0.07000000029802322,0.44956985116004944,0,0,0,1
0,0.07999999821186066,0.45948681235313416,0,0,0,1
0,0.08999999612569809,0.46943598985671997,0,0,0,1
0,0.09999999403953552,0.47940948605537415,0,0,0,1
0,0.10999999940395355,0.48939943313598633,0,0,0,1
0,0.11999999731779099,0.49939781427383423,0,0,0,1
0,0.12999999523162842,0.5093967318534851,0,0,0,1
0,0.14000000059604645,0.5193881392478943,0,0,0,1
0,0.14999999105930328,0.5293640494346619,0,0,0,1
0,0.1599999964237213,0.5393165349960327,0,0,0,1
0,0.17000000178813934,0.5492377281188965,0,0,0,1
0,0.17999999225139618,0.5591199994087219,0,0,0,1
0,0.1899999976158142,0.568955659866333,0,0,0,1
0,0.19999998807907104,0.578737199306488,0,0,0,1
0,0.20999999344348907,0.5884572863578796,0,0,0,1
0,0.2199999988079071,0.5981088280677795,0,0,0,1
0,0.22999998927116394,0.6076849699020386,0,0,0,1
0,0.23999999463558197,0.6171789169311523,0,0,0,1
0,0.25,0.6265842914581299,0,0,0,1
0,0.25999999046325684,0.6358948945999146,0,0,0,1
0,0.26999998092651367,0.6451049447059631,0,0,0,1
0,0.2800000011920929,0.6542087197303772,0,0,0,1
0,0.28999999165534973,0.663200855255127,0,0,0,1
0,0.29999998211860657,0.6720763444900513,0,0,0,1
0,0.3100000023841858,0.6808304786682129,0,0,0,1
0,0.3199999928474426,0.6894589066505432,0,0,0,1
0,0.32999998331069946,0.6979575753211975,0,0,0,1
0,0.3400000035762787,0.7063227295875549,0,0,0,1
